                  epoch,             train/loss,  metrics/accuracy_top1,  metrics/accuracy_top5,               val/loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     40,                0.05294,                0.87755,                      1,                0.35198,             0.00010293,             0.00010293,             0.00010293
                     41,                0.05418,                0.87755,                      1,                0.34912,             8.8248e-05,             8.8248e-05,             8.8248e-05
                     42,                0.05537,                0.85714,                      1,                0.35377,             7.4639e-05,             7.4639e-05,             7.4639e-05
                     43,                0.06139,                0.85714,                      1,                0.35504,             6.2159e-05,             6.2159e-05,             6.2159e-05
                     44,                 0.0406,                0.89796,                      1,                0.34909,             5.0857e-05,             5.0857e-05,             5.0857e-05
                     45,                0.06662,                0.83673,                      1,                0.35821,             4.0777e-05,             4.0777e-05,             4.0777e-05
                     46,                0.05821,                0.85714,                      1,                0.35596,             3.1959e-05,             3.1959e-05,             3.1959e-05
                     47,                0.04182,                0.83673,                      1,                0.36096,             2.4438e-05,             2.4438e-05,             2.4438e-05
                     48,                0.07087,                0.83673,                      1,                  0.364,             1.8244e-05,             1.8244e-05,             1.8244e-05
                     49,                 0.0489,                0.79592,                      1,                0.36373,               1.34e-05,               1.34e-05,               1.34e-05
                     50,                0.08156,                0.83673,                      1,                0.36595,             9.9269e-06,             9.9269e-06,             9.9269e-06
                      1,                0.39653,                 0.4898,                      1,                0.56754,               7.14e-05,               7.14e-05,               7.14e-05
                      2,                0.39985,                0.55102,                      1,                 0.5074,             0.00014979,             0.00014979,             0.00014979
                      3,                0.31273,                0.61224,                      1,                0.49284,             0.00022759,             0.00022759,             0.00022759
                      4,                0.26114,                0.73469,                      1,                0.44743,             0.00030433,             0.00030433,             0.00030433
                      5,                0.23107,                0.79592,                      1,                0.42125,             0.00037956,             0.00037956,             0.00037956
                      6,                0.20038,                0.69388,                      1,                0.45747,             0.00045286,             0.00045286,             0.00045286
                      7,                0.17992,                0.63265,                      1,                0.48336,             0.00052378,             0.00052378,             0.00052378
                      8,                 0.1665,                0.59184,                      1,                 0.4828,             0.00059192,             0.00059192,             0.00059192
                      9,                0.16113,                0.79592,                      1,                0.40786,             0.00065688,             0.00065688,             0.00065688
                     10,                0.15928,                0.77551,                      1,                0.39663,             0.00065898,             0.00065898,             0.00065898
                     11,                0.13433,                0.71429,                      1,                 0.4338,             0.00065898,             0.00065898,             0.00065898
                     12,                0.13557,                0.73469,                      1,                0.42591,              0.0006465,              0.0006465,              0.0006465
                     13,                 0.1134,                0.83673,                      1,                0.37599,             0.00063289,             0.00063289,             0.00063289
                     14,                0.09408,                0.81633,                      1,                0.37436,             0.00061821,             0.00061821,             0.00061821
                     15,                0.09731,                0.79592,                      1,                0.37741,             0.00060251,             0.00060251,             0.00060251
                     16,                 0.0952,                0.83673,                      1,                0.37135,             0.00058585,             0.00058585,             0.00058585
                     17,                0.12508,                0.85714,                      1,                0.37397,             0.00056831,             0.00056831,             0.00056831
                     18,                  0.072,                0.85714,                      1,                0.35676,             0.00054995,             0.00054995,             0.00054995
                     19,                0.11065,                0.85714,                      1,                0.36052,             0.00053084,             0.00053084,             0.00053084
                     20,                0.07977,                0.81633,                      1,                0.38808,             0.00051105,             0.00051105,             0.00051105
                     21,                0.06072,                0.79592,                      1,                0.38523,             0.00049068,             0.00049068,             0.00049068
                     22,                0.07433,                0.79592,                      1,                0.39101,             0.00046979,             0.00046979,             0.00046979
                     23,                0.11641,                0.81633,                      1,                0.37348,             0.00044846,             0.00044846,             0.00044846
                     24,                0.06717,                0.87755,                      1,                0.35352,              0.0004268,              0.0004268,              0.0004268
                     25,                0.08157,                0.87755,                      1,                0.34479,             0.00040487,             0.00040487,             0.00040487
                     26,                0.05504,                0.91837,                      1,                 0.3309,             0.00038276,             0.00038276,             0.00038276
                     27,                0.07034,                0.87755,                      1,                0.33394,             0.00036057,             0.00036057,             0.00036057
                     28,                0.06113,                0.91837,                      1,                0.32078,             0.00033838,             0.00033838,             0.00033838
                     29,                0.05764,                0.89796,                      1,                 0.3409,             0.00031627,             0.00031627,             0.00031627
                     30,                0.03689,                0.83673,                      1,                0.34121,             0.00029434,             0.00029434,             0.00029434
                     31,                0.05463,                0.83673,                      1,                0.36277,             0.00027268,             0.00027268,             0.00027268
                     32,                0.06682,                0.89796,                      1,                0.34692,             0.00025135,             0.00025135,             0.00025135
                     33,                0.04905,                0.87755,                      1,                0.35923,             0.00023046,             0.00023046,             0.00023046
                     34,                0.06232,                0.83673,                      1,                0.35677,             0.00021009,             0.00021009,             0.00021009
                     35,                0.04515,                0.85714,                      1,                0.35358,              0.0001903,              0.0001903,              0.0001903
                     36,                 0.0699,                0.83673,                      1,                0.36262,             0.00017119,             0.00017119,             0.00017119
                     37,                0.06717,                0.83673,                      1,                0.36639,             0.00015283,             0.00015283,             0.00015283
                     38,                0.03516,                0.77551,                      1,                0.37834,             0.00013529,             0.00013529,             0.00013529
                     39,                0.04017,                0.81633,                      1,                0.37525,             0.00011863,             0.00011863,             0.00011863
                     40,                0.04041,                0.83673,                      1,                0.35104,             0.00010293,             0.00010293,             0.00010293
                     41,                0.04975,                0.81633,                      1,                0.36457,             8.8248e-05,             8.8248e-05,             8.8248e-05
                     42,                0.03184,                0.81633,                      1,                0.37681,             7.4639e-05,             7.4639e-05,             7.4639e-05
                     43,                0.06256,                0.81633,                      1,                0.37243,             6.2159e-05,             6.2159e-05,             6.2159e-05
                     44,                0.03977,                0.81633,                      1,                0.36392,             5.0857e-05,             5.0857e-05,             5.0857e-05
                     45,                0.04451,                0.79592,                      1,                 0.3702,             4.0777e-05,             4.0777e-05,             4.0777e-05
                     46,                 0.0543,                0.83673,                      1,                 0.3522,             3.1959e-05,             3.1959e-05,             3.1959e-05
                     47,                0.03524,                0.85714,                      1,                 0.3566,             2.4438e-05,             2.4438e-05,             2.4438e-05
                     48,                0.06015,                0.81633,                      1,                0.37186,             1.8244e-05,             1.8244e-05,             1.8244e-05
                     49,                0.04567,                0.85714,                      1,                0.35739,               1.34e-05,               1.34e-05,               1.34e-05
                     50,                0.05425,                0.79592,                      1,                0.37546,             9.9269e-06,             9.9269e-06,             9.9269e-06
                      1,                0.39653,                 0.4898,                      1,                0.56754,               7.14e-05,               7.14e-05,               7.14e-05
                      2,                0.39985,                0.55102,                      1,                 0.5074,             0.00014979,             0.00014979,             0.00014979
                      3,                0.31273,                0.61224,                      1,                0.49284,             0.00022759,             0.00022759,             0.00022759
                      4,                0.26114,                0.73469,                      1,                0.44743,             0.00030433,             0.00030433,             0.00030433
                      5,                0.23107,                0.79592,                      1,                0.42125,             0.00037956,             0.00037956,             0.00037956
                      6,                0.20038,                0.69388,                      1,                0.45747,             0.00045286,             0.00045286,             0.00045286
                      7,                0.17992,                0.63265,                      1,                0.48336,             0.00052378,             0.00052378,             0.00052378
                      8,                 0.1665,                0.59184,                      1,                 0.4828,             0.00059192,             0.00059192,             0.00059192
                      9,                0.16113,                0.79592,                      1,                0.40786,             0.00065688,             0.00065688,             0.00065688
                     10,                0.15928,                0.77551,                      1,                0.39663,             0.00065898,             0.00065898,             0.00065898
                     11,                0.13433,                0.71429,                      1,                 0.4338,             0.00065898,             0.00065898,             0.00065898
                     12,                0.13557,                0.73469,                      1,                0.42591,              0.0006465,              0.0006465,              0.0006465
                     13,                 0.1134,                0.83673,                      1,                0.37599,             0.00063289,             0.00063289,             0.00063289
                     14,                0.09408,                0.81633,                      1,                0.37436,             0.00061821,             0.00061821,             0.00061821
                     15,                0.09731,                0.79592,                      1,                0.37741,             0.00060251,             0.00060251,             0.00060251
                     16,                 0.0952,                0.83673,                      1,                0.37135,             0.00058585,             0.00058585,             0.00058585
                     17,                0.12508,                0.85714,                      1,                0.37397,             0.00056831,             0.00056831,             0.00056831
                     18,                  0.072,                0.85714,                      1,                0.35676,             0.00054995,             0.00054995,             0.00054995
                     19,                0.11065,                0.85714,                      1,                0.36052,             0.00053084,             0.00053084,             0.00053084
                     20,                0.07977,                0.81633,                      1,                0.38808,             0.00051105,             0.00051105,             0.00051105
                     21,                0.06072,                0.79592,                      1,                0.38523,             0.00049068,             0.00049068,             0.00049068
                     22,                0.07433,                0.79592,                      1,                0.39101,             0.00046979,             0.00046979,             0.00046979
                     23,                0.11641,                0.81633,                      1,                0.37348,             0.00044846,             0.00044846,             0.00044846
                     24,                0.06717,                0.87755,                      1,                0.35352,              0.0004268,              0.0004268,              0.0004268
                     25,                0.08157,                0.87755,                      1,                0.34479,             0.00040487,             0.00040487,             0.00040487
                     26,                0.05504,                0.91837,                      1,                 0.3309,             0.00038276,             0.00038276,             0.00038276
                     27,                0.07034,                0.87755,                      1,                0.33394,             0.00036057,             0.00036057,             0.00036057
                     28,                0.06113,                0.91837,                      1,                0.32078,             0.00033838,             0.00033838,             0.00033838
                     29,                0.05764,                0.89796,                      1,                 0.3409,             0.00031627,             0.00031627,             0.00031627
                     30,                0.03689,                0.83673,                      1,                0.34121,             0.00029434,             0.00029434,             0.00029434
                     31,                0.05463,                0.83673,                      1,                0.36277,             0.00027268,             0.00027268,             0.00027268
                     32,                0.06682,                0.89796,                      1,                0.34692,             0.00025135,             0.00025135,             0.00025135
                     33,                0.04905,                0.87755,                      1,                0.35923,             0.00023046,             0.00023046,             0.00023046
                     34,                0.06232,                0.83673,                      1,                0.35677,             0.00021009,             0.00021009,             0.00021009
                     35,                0.04515,                0.85714,                      1,                0.35358,              0.0001903,              0.0001903,              0.0001903
                     36,                 0.0699,                0.83673,                      1,                0.36262,             0.00017119,             0.00017119,             0.00017119
                     37,                0.06717,                0.83673,                      1,                0.36639,             0.00015283,             0.00015283,             0.00015283
                     38,                0.03516,                0.77551,                      1,                0.37834,             0.00013529,             0.00013529,             0.00013529
                     39,                0.04017,                0.81633,                      1,                0.37525,             0.00011863,             0.00011863,             0.00011863
                     40,                0.04041,                0.83673,                      1,                0.35104,             0.00010293,             0.00010293,             0.00010293
                     41,                0.04975,                0.81633,                      1,                0.36457,             8.8248e-05,             8.8248e-05,             8.8248e-05
                     42,                0.03184,                0.81633,                      1,                0.37681,             7.4639e-05,             7.4639e-05,             7.4639e-05
                     43,                0.06256,                0.81633,                      1,                0.37243,             6.2159e-05,             6.2159e-05,             6.2159e-05
                     44,                0.03977,                0.81633,                      1,                0.36392,             5.0857e-05,             5.0857e-05,             5.0857e-05
                     45,                0.04451,                0.79592,                      1,                 0.3702,             4.0777e-05,             4.0777e-05,             4.0777e-05
                     46,                 0.0543,                0.83673,                      1,                 0.3522,             3.1959e-05,             3.1959e-05,             3.1959e-05
                     47,                0.03524,                0.85714,                      1,                 0.3566,             2.4438e-05,             2.4438e-05,             2.4438e-05
                     48,                0.06015,                0.81633,                      1,                0.37186,             1.8244e-05,             1.8244e-05,             1.8244e-05
                     49,                0.04567,                0.85714,                      1,                0.35739,               1.34e-05,               1.34e-05,               1.34e-05
                     50,                0.05425,                0.79592,                      1,                0.37546,             9.9269e-06,             9.9269e-06,             9.9269e-06
